iter	Logloss
0	0.6882771537
1	0.6833099328
2	0.6785362806
3	0.6732016444
4	0.6679446757
5	0.6627923758
6	0.657785528
7	0.6542484088
8	0.6495292136
9	0.6455866152
10	0.6415310332
11	0.6368653695
12	0.6324636315
13	0.6279170556
14	0.6234048284
15	0.6194304858
16	0.6157258899
17	0.6125312141
18	0.6079515676
19	0.6040093138
20	0.5997080161
21	0.5960369649
22	0.5920463849
23	0.5878600211
24	0.5840799394
25	0.5800275607
26	0.576294419
27	0.5723686888
28	0.5682105448
29	0.5647071787
30	0.5611561205
31	0.5578440851
32	0.5543025689
33	0.5504318067
34	0.5475752439
35	0.5444486944
36	0.541101542
37	0.5380558513
38	0.5347320023
39	0.5314157161
40	0.5282329975
41	0.5244277246
42	0.521092602
43	0.5178063718
44	0.51453141
45	0.51132883
46	0.5087076355
47	0.5064267346
48	0.5038406077
49	0.5011633283
50	0.4977735434
51	0.494939162
52	0.4922468408
53	0.4893945051
54	0.4860429622
55	0.483346417
56	0.4801939013
57	0.4768954582
58	0.4746404673
59	0.471487105
60	0.4686559846
61	0.4662936134
62	0.4634330864
63	0.460602268
64	0.4582974154
65	0.4553204969
66	0.4525672556
67	0.4498468591
68	0.4470831407
69	0.4444833103
70	0.4426407314
71	0.4399167274
72	0.4372168405
73	0.4342517164
74	0.4316102349
75	0.4294296479
76	0.4270537416
77	0.424173355
78	0.4217788139
79	0.4199266994
80	0.4172975525
81	0.4148088755
82	0.4121856387
83	0.4102915209
84	0.4082363499
85	0.4057352814
86	0.4038200052
87	0.401717489
88	0.39979192
89	0.3976291493
90	0.3960149975
91	0.3940970933
92	0.3919333017
93	0.3899301967
94	0.3881370997
95	0.3857474218
96	0.3840722821
97	0.3821630183
98	0.3799560773
99	0.3780147199
100	0.3760002043
101	0.3743418563
102	0.3722459237
103	0.3697270047
104	0.3675286543
105	0.3658845819
106	0.364275007
107	0.3621250036
108	0.3601666939
109	0.3583862295
110	0.3568661026
111	0.3558786304
112	0.3539305837
113	0.3522578905
114	0.3509403683
115	0.3494174642
116	0.3472783418
117	0.3458333504
118	0.3450118577
119	0.3435010622
120	0.3416899394
121	0.3404825924
122	0.3393540688
123	0.3374472344
124	0.3357958254
125	0.3343729607
126	0.3331048886
127	0.3314069092
128	0.3293721507
129	0.3277068809
130	0.3260890948
131	0.3246718605
132	0.3231989703
133	0.3218818447
134	0.3205993435
135	0.3192564192
136	0.3180650412
137	0.3166019064
138	0.3150209422
139	0.3138200355
140	0.3127631575
141	0.3111415873
142	0.3097358551
143	0.3080883654
144	0.3066204695
145	0.3050983893
146	0.303620681
147	0.3024061319
148	0.3014779001
149	0.3003169488
150	0.2993304948
151	0.2978416395
152	0.2965036609
153	0.2953606113
154	0.2944646599
155	0.2934607836
156	0.292471106
157	0.2911793721
158	0.2901463253
159	0.2889779229
160	0.287883051
161	0.2869374117
162	0.2859538905
163	0.2853042565
164	0.2841344296
165	0.2826703
166	0.2815246199
167	0.2805112791
168	0.2791860971
169	0.2778809636
170	0.2766079715
171	0.2755890279
172	0.2747673116
173	0.2737984747
174	0.272772448
175	0.2715224768
176	0.2709259079
177	0.2699006963
178	0.2690741596
179	0.2678109581
180	0.2668639047
181	0.2661136305
182	0.2650871151
183	0.2641855277
184	0.2632693509
185	0.2624895373
186	0.2614870784
187	0.260833623
188	0.2594921995
189	0.2582576078
